window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,5,6790.727648786741,244,True,28,4,6862.2326720336,71.5050232468584,1.4959016393442623,"{5: np.float64(6790.73), 4: np.float64(6862.23), 7: np.float64(6963.13), 6: np.float64(6974.12), 3: np.float64(7147.13)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,6,5641.935409803613,299,True,66,5,5714.5936127786845,72.65820297507162,1.2207357859531773,"{6: np.float64(5641.94), 5: np.float64(5714.59), 7: np.float64(5820.75), 4: np.float64(5943.7), 3: np.float64(6057.5)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,4,5863.802870270327,191,True,76,5,5896.7474885461515,32.94461827582472,1.9109947643979057,"{4: np.float64(5863.8), 5: np.float64(5896.75), 3: np.float64(5952.45), 6: np.float64(5974.09), 7: np.float64(6172.58)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,6,6678.798425331035,299,True,20,5,6728.579422389169,49.780997058133835,1.2207357859531773,"{6: np.float64(6678.8), 5: np.float64(6728.58), 4: np.float64(6730.7), 3: np.float64(6774.21), 7: np.float64(6934.4)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,5,6405.8610567880405,244,True,31,6,6481.091468051103,75.2304112630627,1.4959016393442623,"{5: np.float64(6405.86), 6: np.float64(6481.09), 4: np.float64(6568.12), 3: np.float64(6714.64), 7: np.float64(6792.88)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,5,6851.489476771137,244,True,96,6,6886.374961081841,34.88548431070467,1.4959016393442623,"{5: np.float64(6851.49), 6: np.float64(6886.37), 4: np.float64(6899.46), 7: np.float64(6913.36), 3: np.float64(7014.35)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,7149.336329943232,244,True,27,7,7248.688602134449,99.3522721912168,1.4959016393442623,"{5: np.float64(7149.34), 7: np.float64(7248.69), 6: np.float64(7250.01), 4: np.float64(7291.11), 3: np.float64(7466.01)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,5,6079.520506876273,244,True,44,6,6126.996757621376,47.476250745102334,1.4959016393442623,"{5: np.float64(6079.52), 6: np.float64(6127.0), 4: np.float64(6136.46), 7: np.float64(6246.39), 3: np.float64(6445.57)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,5,6666.77403939656,244,True,43,6,6711.021357620872,44.24731822431204,1.4959016393442623,"{5: np.float64(6666.77), 6: np.float64(6711.02), 4: np.float64(6737.05), 3: np.float64(6774.84), 7: np.float64(7120.94)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,4,7153.291617366634,191,True,39,5,7178.310577003712,25.018959637078297,1.9109947643979057,"{4: np.float64(7153.29), 5: np.float64(7178.31), 3: np.float64(7242.83), 6: np.float64(7263.31), 7: np.float64(7579.29)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,5,6873.805978793702,244,True,47,4,6910.229041715403,36.423062921700875,1.4959016393442623,"{5: np.float64(6873.81), 4: np.float64(6910.23), 3: np.float64(7008.79), 6: np.float64(7066.48), 7: np.float64(7199.69)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,4,6802.108811021112,191,True,81,5,6805.063465933591,2.9546549124788726,1.9109947643979057,"{4: np.float64(6802.11), 5: np.float64(6805.06), 6: np.float64(6933.56), 7: np.float64(6950.88), 3: np.float64(7028.71)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,5,6569.842611243028,244,True,47,4,6669.144623480227,99.30201223719905,1.4959016393442623,"{5: np.float64(6569.84), 4: np.float64(6669.14), 6: np.float64(6750.74), 7: np.float64(6774.58), 3: np.float64(6832.82)}"
