window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,6,6175.061642883802,245,True,35,5,6180.102715542541,5.041072658738813,1.489795918367347,"{6: np.float64(6175.06), 5: np.float64(6180.1), 7: np.float64(6249.01), 4: np.float64(6258.89), 3: np.float64(6382.2)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,6,5150.856705783558,245,True,75,5,5183.111507913484,32.25480212992625,1.489795918367347,"{6: np.float64(5150.86), 5: np.float64(5183.11), 3: np.float64(5354.68), 4: np.float64(5359.59), 7: np.float64(5381.58)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,4,5091.894886595191,155,True,63,3,5157.643638003156,65.74875140796576,2.3548387096774195,"{4: np.float64(5091.89), 3: np.float64(5157.64), 6: np.float64(5188.34), 5: np.float64(5208.36), 7: np.float64(5437.23)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,4,5889.499547212511,155,True,141,5,5979.246386401149,89.74683918863775,2.3548387096774195,"{4: np.float64(5889.5), 5: np.float64(5979.25), 3: np.float64(6032.59), 7: np.float64(6065.93), 6: np.float64(6132.34)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,6,5701.493613681877,245,True,43,5,5758.554496022326,57.0608823404491,1.489795918367347,"{6: np.float64(5701.49), 5: np.float64(5758.55), 4: np.float64(5938.69), 3: np.float64(5993.84), 7: np.float64(6085.68)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,5,6026.863974966551,199,True,55,6,6058.889977561057,32.02600259450628,1.8341708542713568,"{5: np.float64(6026.86), 6: np.float64(6058.89), 4: np.float64(6095.57), 3: np.float64(6118.3), 7: np.float64(6303.97)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,6316.808938893446,199,True,107,4,6355.547360715298,38.73842182185217,1.8341708542713568,"{5: np.float64(6316.81), 4: np.float64(6355.55), 6: np.float64(6410.71), 7: np.float64(6478.17), 3: np.float64(6631.97)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,6,5235.393077571678,245,True,85,5,5313.9018912321,78.50881366042177,1.489795918367347,"{6: np.float64(5235.39), 5: np.float64(5313.9), 4: np.float64(5412.61), 7: np.float64(5428.99), 3: np.float64(5614.01)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,5,5653.162526546159,199,True,36,4,5812.804542202511,159.64201565635176,1.8341708542713568,"{5: np.float64(5653.16), 4: np.float64(5812.8), 6: np.float64(5851.78), 3: np.float64(5903.37), 7: np.float64(5955.99)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,3,6362.772909791996,113,True,26,4,6395.024741369258,32.25183157726133,3.230088495575221,"{3: np.float64(6362.77), 4: np.float64(6395.02), 6: np.float64(6424.93), 5: np.float64(6495.12), 7: np.float64(6798.0)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,5,6073.415577561111,199,True,85,4,6096.856335206065,23.44075764495392,1.8341708542713568,"{5: np.float64(6073.42), 4: np.float64(6096.86), 6: np.float64(6104.14), 3: np.float64(6256.94), 7: np.float64(6424.25)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,4,5938.000894161786,155,True,62,5,5971.428654371399,33.42776020961264,2.3548387096774195,"{4: np.float64(5938.0), 5: np.float64(5971.43), 6: np.float64(5989.78), 3: np.float64(6155.04), 7: np.float64(6323.56)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,5,5864.818655569171,199,True,62,4,5981.4165953991,116.59793982992869,1.8341708542713568,"{5: np.float64(5864.82), 4: np.float64(5981.42), 3: np.float64(6020.3), 6: np.float64(6035.21), 7: np.float64(6105.33)}"
