window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,6,5676.319665172655,245,True,41,5,5724.09835472623,47.77868955357553,1.489795918367347,"{6: np.float64(5676.32), 5: np.float64(5724.1), 7: np.float64(5786.85), 4: np.float64(5863.48), 3: np.float64(6157.14)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,7,4977.041982021176,293,True,83,4,5014.967162501394,37.92518048021793,1.2457337883959045,"{7: np.float64(4977.04), 4: np.float64(5014.97), 5: np.float64(5088.49), 6: np.float64(5146.03), 3: np.float64(5167.35)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,5,4918.16475915215,199,True,174,4,4949.27622842181,31.11146926966012,1.8341708542713568,"{5: np.float64(4918.16), 4: np.float64(4949.28), 7: np.float64(4949.87), 6: np.float64(5057.99), 3: np.float64(5062.02)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,5,5526.184700724229,199,True,69,6,5530.345227962617,4.160527238388568,1.8341708542713568,"{5: np.float64(5526.18), 6: np.float64(5530.35), 4: np.float64(5551.41), 7: np.float64(5586.18), 3: np.float64(5811.34)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,6,5344.397726614355,245,True,55,5,5424.216578236833,79.81885162247818,1.489795918367347,"{6: np.float64(5344.4), 5: np.float64(5424.22), 7: np.float64(5513.19), 4: np.float64(5619.85), 3: np.float64(5790.81)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,7,5665.073173789374,293,True,90,6,5863.332980857962,198.2598070685881,1.2457337883959045,"{7: np.float64(5665.07), 6: np.float64(5863.33), 5: np.float64(5913.38), 4: np.float64(5954.63), 3: np.float64(6031.28)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,6307.585600945699,199,True,34,6,6375.9653832398135,68.3797822941142,1.8341708542713568,"{5: np.float64(6307.59), 6: np.float64(6375.97), 4: np.float64(6415.11), 7: np.float64(6509.04), 3: np.float64(6635.94)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,6,5318.145307843701,245,True,55,5,5342.555456562778,24.41014871907737,1.489795918367347,"{6: np.float64(5318.15), 5: np.float64(5342.56), 4: np.float64(5348.84), 7: np.float64(5513.94), 3: np.float64(5578.62)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,4,5763.500405409531,155,True,49,5,5785.4946018660985,21.994196456567806,2.3548387096774195,"{4: np.float64(5763.5), 5: np.float64(5785.49), 6: np.float64(5821.52), 7: np.float64(5842.1), 3: np.float64(6091.16)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,4,6044.485365791229,155,True,67,5,6046.90675383155,2.4213880403212897,2.3548387096774195,"{4: np.float64(6044.49), 5: np.float64(6046.91), 6: np.float64(6080.69), 7: np.float64(6099.5), 3: np.float64(6171.5)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,5,5685.389941117757,199,True,76,4,5847.6274424612075,162.23750134345028,1.8341708542713568,"{5: np.float64(5685.39), 4: np.float64(5847.63), 6: np.float64(5878.84), 3: np.float64(5911.47), 7: np.float64(6096.24)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,5,5861.510303202,199,True,57,4,5939.195242206049,77.68493900404974,1.8341708542713568,"{5: np.float64(5861.51), 4: np.float64(5939.2), 6: np.float64(6035.29), 7: np.float64(6087.61), 3: np.float64(6143.23)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,5,5607.136900052064,199,True,58,7,5625.118910157061,17.982010104996334,1.8341708542713568,"{5: np.float64(5607.14), 7: np.float64(5625.12), 6: np.float64(5706.92), 4: np.float64(5743.65), 3: np.float64(5983.69)}"
