window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,4,5892.221112963451,155,True,30,6,5972.486389961766,80.26527699831513,2.3548387096774195,"{4: np.float64(5892.22), 6: np.float64(5972.49), 5: np.float64(6000.98), 7: np.float64(6128.13), 3: np.float64(6184.97)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,4,5411.303899039626,155,True,25,6,5429.082859278677,17.77896023905032,2.3548387096774195,"{4: np.float64(5411.3), 6: np.float64(5429.08), 7: np.float64(5449.4), 5: np.float64(5525.03), 3: np.float64(5566.07)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,5,5648.841893319718,199,True,29,4,5693.257933467213,44.41604014749464,1.8341708542713568,"{5: np.float64(5648.84), 4: np.float64(5693.26), 6: np.float64(5746.01), 3: np.float64(5788.07), 7: np.float64(5856.05)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,5,6320.811391781422,199,True,29,4,6376.740054781262,55.928662999840526,1.8341708542713568,"{5: np.float64(6320.81), 4: np.float64(6376.74), 7: np.float64(6381.81), 3: np.float64(6496.97), 6: np.float64(6522.09)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,5,5806.147224643941,199,True,52,4,5810.1649887949425,4.0177641510017565,1.8341708542713568,"{5: np.float64(5806.15), 4: np.float64(5810.16), 3: np.float64(5890.67), 7: np.float64(5970.97), 6: np.float64(6017.83)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,6,5865.029729166679,245,True,95,4,5865.359131739605,0.3294025729255736,1.489795918367347,"{6: np.float64(5865.03), 4: np.float64(5865.36), 5: np.float64(5885.76), 3: np.float64(5944.17), 7: np.float64(5968.16)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,6227.549674824324,199,True,37,6,6349.8744482124575,122.32477338813351,1.8341708542713568,"{5: np.float64(6227.55), 6: np.float64(6349.87), 4: np.float64(6367.87), 7: np.float64(6501.39), 3: np.float64(6515.8)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,4,5670.048737946869,155,True,30,5,5693.639232646106,23.59049469923775,2.3548387096774195,"{4: np.float64(5670.05), 5: np.float64(5693.64), 7: np.float64(5765.9), 3: np.float64(5774.75), 6: np.float64(5777.0)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,5,5927.292178282279,199,True,118,4,6079.827142591544,152.53496430926498,1.8341708542713568,"{5: np.float64(5927.29), 4: np.float64(6079.83), 3: np.float64(6198.09), 6: np.float64(6203.69), 7: np.float64(6357.56)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,4,6214.39390645203,155,True,71,5,6252.818885048005,38.42497859597461,2.3548387096774195,"{4: np.float64(6214.39), 5: np.float64(6252.82), 6: np.float64(6296.88), 3: np.float64(6330.94), 7: np.float64(6661.67)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,4,6077.3468112542505,155,True,83,5,6086.392404029575,9.045592775324621,2.3548387096774195,"{4: np.float64(6077.35), 5: np.float64(6086.39), 3: np.float64(6097.12), 6: np.float64(6103.62), 7: np.float64(6463.05)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,5,6044.425680459959,199,True,73,4,6053.094013070401,8.668332610442121,1.8341708542713568,"{5: np.float64(6044.43), 4: np.float64(6053.09), 3: np.float64(6190.63), 7: np.float64(6317.85), 6: np.float64(6322.57)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,5,5995.746842129957,199,True,111,4,6006.874952255522,11.12811012556449,1.8341708542713568,"{5: np.float64(5995.75), 4: np.float64(6006.87), 6: np.float64(6172.0), 3: np.float64(6217.42), 7: np.float64(6355.69)}"
