window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-03-29 00:00:00+00:00,2020-03-27 00:00:00+00:00,365,5,6259.1348896732325,199,True,9,6,6273.282926584001,14.148036910768496,1.8341708542713568,"{5: np.float64(6259.13), 6: np.float64(6273.28), 7: np.float64(6343.3), 4: np.float64(6379.89), 3: np.float64(6557.59)}"
1,2019-09-27 00:00:00+00:00,2020-09-25 00:00:00+00:00,365,5,5227.428295835447,199,True,54,6,5283.987749937554,56.55945410210734,1.8341708542713568,"{5: np.float64(5227.43), 6: np.float64(5283.99), 4: np.float64(5457.84), 7: np.float64(5483.51), 3: np.float64(5510.73)}"
2,2020-03-27 00:00:00+00:00,2021-03-26 00:00:00+00:00,365,6,5330.15400414698,245,True,168,4,5350.926085460565,20.77208131358566,1.489795918367347,"{6: np.float64(5330.15), 4: np.float64(5350.93), 5: np.float64(5396.18), 3: np.float64(5463.34), 7: np.float64(5532.0)}"
3,2020-09-25 00:00:00+00:00,2021-09-24 00:00:00+00:00,365,4,5976.22497180247,155,True,50,5,6014.020604239618,37.795632437148015,2.3548387096774195,"{4: np.float64(5976.22), 5: np.float64(6014.02), 3: np.float64(6061.18), 6: np.float64(6125.87), 7: np.float64(6240.07)}"
4,2021-03-26 00:00:00+00:00,2022-03-25 00:00:00+00:00,365,4,6135.963470666442,155,True,56,5,6168.003946738564,32.040476072122146,2.3548387096774195,"{4: np.float64(6135.96), 5: np.float64(6168.0), 3: np.float64(6212.61), 6: np.float64(6236.69), 7: np.float64(6453.25)}"
5,2021-09-24 00:00:00+00:00,2022-09-23 00:00:00+00:00,365,4,6386.068262429325,155,True,53,5,6417.203380520808,31.13511809148349,2.3548387096774195,"{4: np.float64(6386.07), 5: np.float64(6417.2), 3: np.float64(6475.6), 6: np.float64(6593.95), 7: np.float64(6692.24)}"
6,2022-03-25 00:00:00+00:00,2023-03-24 00:00:00+00:00,365,6,6355.381291214545,245,True,75,4,6356.689961896467,1.3086706819221945,1.489795918367347,"{6: np.float64(6355.38), 4: np.float64(6356.69), 5: np.float64(6364.32), 3: np.float64(6445.54), 7: np.float64(6556.96)}"
7,2022-09-23 00:00:00+00:00,2023-09-22 00:00:00+00:00,365,5,5383.635328589127,199,True,70,4,5547.188184702585,163.5528561134579,1.8341708542713568,"{5: np.float64(5383.64), 4: np.float64(5547.19), 6: np.float64(5552.47), 3: np.float64(5621.24), 7: np.float64(5663.73)}"
8,2023-03-24 00:00:00+00:00,2024-03-22 00:00:00+00:00,365,4,6140.093940098406,155,True,34,3,6155.426053964827,15.332113866420514,2.3548387096774195,"{4: np.float64(6140.09), 3: np.float64(6155.43), 5: np.float64(6211.75), 7: np.float64(6219.45), 6: np.float64(6271.1)}"
9,2023-09-22 00:00:00+00:00,2024-09-20 00:00:00+00:00,365,5,6632.880260732997,199,True,70,6,6699.897296659829,67.01703592683225,1.8341708542713568,"{5: np.float64(6632.88), 6: np.float64(6699.9), 3: np.float64(6734.25), 4: np.float64(6740.39), 7: np.float64(6836.08)}"
10,2024-03-22 00:00:00+00:00,2025-03-21 00:00:00+00:00,365,5,6353.765367122745,199,True,81,4,6395.2393505981145,41.473983475369096,1.8341708542713568,"{5: np.float64(6353.77), 4: np.float64(6395.24), 6: np.float64(6455.71), 3: np.float64(6459.6), 7: np.float64(6565.62)}"
11,2024-09-20 00:00:00+00:00,2025-09-19 00:00:00+00:00,365,5,5937.026965404797,199,True,54,4,5964.405873381045,27.37890797624823,1.8341708542713568,"{5: np.float64(5937.03), 4: np.float64(5964.41), 3: np.float64(6016.31), 6: np.float64(6227.89), 7: np.float64(6291.92)}"
12,2025-03-21 00:00:00+00:00,2026-03-20 00:00:00+00:00,365,4,6255.684628656888,155,True,85,3,6314.521728040495,58.83709938360698,2.3548387096774195,"{4: np.float64(6255.68), 3: np.float64(6314.52), 6: np.float64(6326.94), 7: np.float64(6329.83), 5: np.float64(6344.89)}"
