window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,7,5722.063033494676,293,True,62,6,5775.5803504104715,53.51731691579516,1.2457337883959045,"{7: np.float64(5722.06), 6: np.float64(5775.58), 5: np.float64(5979.94), 4: np.float64(6067.58), 3: np.float64(6288.32)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,6,4844.165205136531,245,True,22,5,4861.294968198832,17.12976306230121,1.489795918367347,"{6: np.float64(4844.17), 5: np.float64(4861.29), 7: np.float64(4957.62), 4: np.float64(5145.28), 3: np.float64(5163.09)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,4,5194.386776840475,155,True,64,5,5207.536360379937,13.149583539461673,2.3548387096774195,"{4: np.float64(5194.39), 5: np.float64(5207.54), 6: np.float64(5220.75), 3: np.float64(5348.61), 7: np.float64(5450.59)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,5,5529.643349827135,199,True,61,4,5718.239556593144,188.59620676600844,1.8341708542713568,"{5: np.float64(5529.64), 4: np.float64(5718.24), 6: np.float64(5747.55), 3: np.float64(5842.05), 7: np.float64(5843.21)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,5,5328.931641709867,199,True,44,6,5457.0565307408015,128.12488903093436,1.8341708542713568,"{5: np.float64(5328.93), 6: np.float64(5457.06), 4: np.float64(5626.44), 7: np.float64(5695.09), 3: np.float64(5765.62)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,6,5723.341634080376,245,True,53,7,5727.470338782483,4.128704702106916,1.489795918367347,"{6: np.float64(5723.34), 7: np.float64(5727.47), 5: np.float64(5753.42), 4: np.float64(5766.85), 3: np.float64(5920.36)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,6255.425301209628,199,True,37,6,6256.700278687,1.2749774773719764,1.8341708542713568,"{5: np.float64(6255.43), 6: np.float64(6256.7), 4: np.float64(6311.16), 3: np.float64(6444.88), 7: np.float64(6459.27)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,6,5414.349929103592,245,True,40,5,5480.223455366334,65.8735262627415,1.489795918367347,"{6: np.float64(5414.35), 5: np.float64(5480.22), 4: np.float64(5524.38), 7: np.float64(5561.52), 3: np.float64(5634.06)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,6,5735.449188639744,245,True,80,5,5752.1132060151485,16.66401737540491,1.489795918367347,"{6: np.float64(5735.45), 5: np.float64(5752.11), 7: np.float64(5754.51), 4: np.float64(5832.61), 3: np.float64(6098.32)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,5,6100.22774179263,199,True,34,4,6146.506335005002,46.27859321237247,1.8341708542713568,"{5: np.float64(6100.23), 4: np.float64(6146.51), 3: np.float64(6184.35), 7: np.float64(6192.66), 6: np.float64(6334.64)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,5,5727.429292176164,199,True,90,4,5816.505837076443,89.07654490027835,1.8341708542713568,"{5: np.float64(5727.43), 4: np.float64(5816.51), 6: np.float64(5884.75), 3: np.float64(5902.69), 7: np.float64(5982.01)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,6,5835.9354224505405,245,True,124,5,5846.398140975976,10.462718525435776,1.489795918367347,"{6: np.float64(5835.94), 5: np.float64(5846.4), 7: np.float64(5869.33), 3: np.float64(5950.73), 4: np.float64(5967.54)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,4,5881.060389323959,155,True,33,6,5943.633076322221,62.572686998262725,2.3548387096774195,"{4: np.float64(5881.06), 6: np.float64(5943.63), 5: np.float64(5979.74), 3: np.float64(6117.18), 7: np.float64(6174.25)}"
