window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,7,5487.959940627279,293,True,40,6,5753.233432191792,265.2734915645133,1.2457337883959045,"{7: np.float64(5487.96), 6: np.float64(5753.23), 5: np.float64(5875.15), 4: np.float64(5924.5), 3: np.float64(6220.18)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,6,4685.597425729575,245,True,94,5,4816.664627119086,131.06720138951096,1.489795918367347,"{6: np.float64(4685.6), 5: np.float64(4816.66), 7: np.float64(4995.48), 3: np.float64(5044.98), 4: np.float64(5129.11)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,5,4838.054592521692,199,True,52,4,4839.781186860671,1.7265943389793392,1.8341708542713568,"{5: np.float64(4838.05), 4: np.float64(4839.78), 6: np.float64(4899.9), 7: np.float64(4976.78), 3: np.float64(5051.2)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,5,5563.466977279959,199,True,50,6,5606.002394506943,42.535417226984464,1.8341708542713568,"{5: np.float64(5563.47), 6: np.float64(5606.0), 4: np.float64(5682.34), 7: np.float64(5779.52), 3: np.float64(5857.91)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,4,5367.4523984201305,155,True,50,5,5435.442800048292,67.99040162816164,2.3548387096774195,"{4: np.float64(5367.45), 5: np.float64(5435.44), 6: np.float64(5532.1), 7: np.float64(5607.01), 3: np.float64(5639.79)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,6,5546.465791978167,245,True,42,5,5658.779102509125,112.313310530958,1.489795918367347,"{6: np.float64(5546.47), 5: np.float64(5658.78), 7: np.float64(5787.98), 4: np.float64(5798.87), 3: np.float64(6007.18)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,6062.330092338323,199,True,95,6,6076.559134343697,14.22904200537414,1.8341708542713568,"{5: np.float64(6062.33), 6: np.float64(6076.56), 7: np.float64(6182.66), 4: np.float64(6234.84), 3: np.float64(6462.7)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,6,5084.382776174484,245,True,56,7,5246.481290019753,162.09851384526883,1.489795918367347,"{6: np.float64(5084.38), 7: np.float64(5246.48), 5: np.float64(5325.31), 4: np.float64(5388.7), 3: np.float64(5601.55)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,5,5639.931932479706,199,True,43,6,5666.93081312897,26.99888064926381,1.8341708542713568,"{5: np.float64(5639.93), 6: np.float64(5666.93), 7: np.float64(5731.84), 4: np.float64(5827.12), 3: np.float64(6047.37)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,4,5959.028593343865,155,True,48,6,6036.206138377152,77.17754503328615,2.3548387096774195,"{4: np.float64(5959.03), 6: np.float64(6036.21), 5: np.float64(6039.33), 3: np.float64(6179.43), 7: np.float64(6316.67)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,5,5759.415371156805,199,True,59,4,5790.942312460783,31.526941303977765,1.8341708542713568,"{5: np.float64(5759.42), 4: np.float64(5790.94), 6: np.float64(5857.95), 3: np.float64(5890.2), 7: np.float64(5944.92)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,4,5807.628066615475,155,True,59,5,5842.602729046541,34.97466243106555,2.3548387096774195,"{4: np.float64(5807.63), 5: np.float64(5842.6), 6: np.float64(5870.33), 7: np.float64(5975.49), 3: np.float64(6031.58)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,7,5585.235536268513,293,True,32,5,5597.073669539069,11.838133270555772,1.2457337883959045,"{7: np.float64(5585.24), 5: np.float64(5597.07), 6: np.float64(5651.46), 4: np.float64(5697.52), 3: np.float64(5797.06)}"
