window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,6,5808.756077406257,245,True,107,7,5919.978450048087,111.22237264183059,1.489795918367347,"{6: np.float64(5808.76), 7: np.float64(5919.98), 4: np.float64(5975.12), 5: np.float64(6007.88), 3: np.float64(6240.47)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,6,4813.259563932477,245,True,59,4,4822.575885438233,9.316321505755695,1.489795918367347,"{6: np.float64(4813.26), 4: np.float64(4822.58), 7: np.float64(4861.76), 5: np.float64(4939.55), 3: np.float64(4974.12)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,4,4810.760058760384,155,True,72,5,4838.11348260321,27.353423842826487,2.3548387096774195,"{4: np.float64(4810.76), 5: np.float64(4838.11), 6: np.float64(4903.72), 3: np.float64(4915.14), 7: np.float64(5037.92)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,5,5554.4284970007375,199,True,24,7,5692.565754754537,138.13725775379953,1.8341708542713568,"{5: np.float64(5554.43), 7: np.float64(5692.57), 4: np.float64(5758.27), 3: np.float64(5850.05), 6: np.float64(5850.35)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,6,5230.943182600515,245,True,137,5,5388.723907252249,157.7807246517341,1.489795918367347,"{6: np.float64(5230.94), 5: np.float64(5388.72), 3: np.float64(5489.42), 4: np.float64(5519.29), 7: np.float64(5551.94)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,6,5615.927242503385,245,True,146,4,5658.68545234638,42.7582098429948,1.489795918367347,"{6: np.float64(5615.93), 4: np.float64(5658.69), 5: np.float64(5809.41), 3: np.float64(5878.01), 7: np.float64(5925.21)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,5,5961.996709364682,199,True,49,6,6042.320513518439,80.32380415375701,1.8341708542713568,"{5: np.float64(5962.0), 6: np.float64(6042.32), 4: np.float64(6073.23), 7: np.float64(6327.34), 3: np.float64(6363.12)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,4,4922.151283706196,155,True,31,6,4949.651470484649,27.50018677845219,2.3548387096774195,"{4: np.float64(4922.15), 6: np.float64(4949.65), 5: np.float64(4976.22), 7: np.float64(5135.61), 3: np.float64(5276.81)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,5,5517.336385240183,199,True,36,6,5610.2519164166,92.91553117641706,1.8341708542713568,"{5: np.float64(5517.34), 6: np.float64(5610.25), 4: np.float64(5631.25), 7: np.float64(5736.28), 3: np.float64(5904.25)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,5,6085.570739906372,199,True,25,4,6096.722183531602,11.151443625230058,1.8341708542713568,"{5: np.float64(6085.57), 4: np.float64(6096.72), 6: np.float64(6120.77), 3: np.float64(6237.08), 7: np.float64(6238.78)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,5,5704.491700778902,199,True,54,4,5776.4371541406845,71.94545336178271,1.8341708542713568,"{5: np.float64(5704.49), 4: np.float64(5776.44), 7: np.float64(5903.65), 6: np.float64(5997.72), 3: np.float64(6012.24)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,5,5633.886328686975,199,True,53,6,5635.929625673817,2.043296986842506,1.8341708542713568,"{5: np.float64(5633.89), 6: np.float64(5635.93), 4: np.float64(5690.78), 3: np.float64(5790.47), 7: np.float64(5874.78)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,5,5486.796853089963,199,True,35,4,5586.110266897204,99.31341380724098,1.8341708542713568,"{5: np.float64(5486.8), 4: np.float64(5586.11), 6: np.float64(5601.64), 7: np.float64(5732.61), 3: np.float64(5833.54)}"
