window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2020-02-20 00:00:00+00:00,2021-02-18 00:00:00+00:00,365,5,6177.541891397068,619,True,43,7,6327.863893133811,150.322001736743,0.5896607431340872,"{5: np.float64(6177.54), 7: np.float64(6327.86), 6: np.float64(6572.43), 4: np.float64(6712.24), 3: np.float64(7382.12)}"
1,2020-08-20 00:00:00+00:00,2021-08-19 00:00:00+00:00,365,7,6396.592683058073,881,True,16,5,6810.735844338264,414.1431612801907,0.41430192962542567,"{7: np.float64(6396.59), 5: np.float64(6810.74), 6: np.float64(6986.95), 4: np.float64(7099.49), 3: np.float64(7566.0)}"
2,2021-02-18 00:00:00+00:00,2022-02-17 00:00:00+00:00,365,6,6043.929562087318,749,True,23,4,6331.176653912875,287.2470918255567,0.48731642189586116,"{6: np.float64(6043.93), 4: np.float64(6331.18), 5: np.float64(6350.04), 7: np.float64(6482.52), 3: np.float64(7110.2)}"
3,2021-08-19 00:00:00+00:00,2022-08-18 00:00:00+00:00,365,5,6496.287891449916,619,True,21,3,6508.771878783817,12.483987333900586,0.5896607431340872,"{5: np.float64(6496.29), 3: np.float64(6508.77), 6: np.float64(6522.08), 7: np.float64(6530.0), 4: np.float64(6548.57)}"
4,2022-02-17 00:00:00+00:00,2023-02-16 00:00:00+00:00,365,7,6632.539909837092,881,True,25,6,6653.049405357575,20.509495520483142,0.41430192962542567,"{7: np.float64(6632.54), 6: np.float64(6653.05), 5: np.float64(6757.65), 4: np.float64(7212.28), 3: np.float64(7401.58)}"
5,2022-08-18 00:00:00+00:00,2023-08-17 00:00:00+00:00,365,5,5605.482450647127,619,True,14,6,5960.970667258468,355.48821661134116,0.5896607431340872,"{5: np.float64(5605.48), 6: np.float64(5960.97), 4: np.float64(6177.6), 7: np.float64(6232.83), 3: np.float64(6446.03)}"
6,2023-02-16 00:00:00+00:00,2024-02-15 00:00:00+00:00,365,6,6009.6207851576355,749,True,9,5,6100.505491740431,90.88470658279584,0.48731642189586116,"{6: np.float64(6009.62), 5: np.float64(6100.51), 7: np.float64(6121.45), 4: np.float64(6213.89), 3: np.float64(6937.95)}"
7,2023-08-17 00:00:00+00:00,2024-08-15 00:00:00+00:00,365,5,7296.105799584204,619,True,20,4,7626.753221642159,330.6474220579548,0.5896607431340872,"{5: np.float64(7296.11), 4: np.float64(7626.75), 6: np.float64(7853.62), 7: np.float64(8085.34), 3: np.float64(8166.11)}"
8,2024-02-15 00:00:00+00:00,2025-02-13 00:00:00+00:00,365,5,7546.225334472952,619,True,14,6,7630.357254777076,84.13192030412392,0.5896607431340872,"{5: np.float64(7546.23), 6: np.float64(7630.36), 4: np.float64(7733.71), 7: np.float64(8164.5), 3: np.float64(8358.0)}"
9,2024-08-15 00:00:00+00:00,2025-08-14 00:00:00+00:00,365,5,6446.9319904808635,619,True,15,3,6589.610977542744,142.67898706188043,0.5896607431340872,"{5: np.float64(6446.93), 3: np.float64(6589.61), 6: np.float64(6691.43), 4: np.float64(6787.43), 7: np.float64(6791.19)}"
10,2025-02-13 00:00:00+00:00,2026-02-12 00:00:00+00:00,365,5,6843.329306650525,619,True,40,4,7023.51159929447,180.1822926439454,0.5896607431340872,"{5: np.float64(6843.33), 4: np.float64(7023.51), 6: np.float64(7224.71), 3: np.float64(7247.46), 7: np.float64(7651.99)}"
