window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2020-02-20 00:00:00+00:00,2021-02-18 00:00:00+00:00,365,7,6765.317283018601,881,True,28,5,6849.978991544797,84.66170852619598,0.41430192962542567,"{7: np.float64(6765.32), 5: np.float64(6849.98), 4: np.float64(6898.73), 6: np.float64(6916.9), 3: np.float64(7663.94)}"
1,2020-08-20 00:00:00+00:00,2021-08-19 00:00:00+00:00,365,6,7207.366527505238,749,True,39,4,7333.827937377047,126.46140987180934,0.48731642189586116,"{6: np.float64(7207.37), 4: np.float64(7333.83), 5: np.float64(7491.24), 7: np.float64(7672.46), 3: np.float64(7922.01)}"
2,2021-02-18 00:00:00+00:00,2022-02-17 00:00:00+00:00,365,7,6570.540677817551,881,True,22,5,6937.991197509171,367.4505196916198,0.41430192962542567,"{7: np.float64(6570.54), 5: np.float64(6937.99), 6: np.float64(7084.15), 4: np.float64(7540.47), 3: np.float64(7831.3)}"
3,2021-08-19 00:00:00+00:00,2022-08-18 00:00:00+00:00,365,6,5898.122657922215,749,True,24,5,6121.428584797301,223.3059268750858,0.48731642189586116,"{6: np.float64(5898.12), 5: np.float64(6121.43), 3: np.float64(6380.62), 4: np.float64(6507.78), 7: np.float64(6701.35)}"
4,2022-02-17 00:00:00+00:00,2023-02-16 00:00:00+00:00,365,6,7150.4208229696305,749,True,35,7,7205.527101825485,55.106278855854725,0.48731642189586116,"{6: np.float64(7150.42), 7: np.float64(7205.53), 5: np.float64(7551.96), 3: np.float64(7927.09), 4: np.float64(7969.06)}"
5,2022-08-18 00:00:00+00:00,2023-08-17 00:00:00+00:00,365,6,4996.345124954647,749,True,16,7,5095.120663879672,98.7755389250251,0.48731642189586116,"{6: np.float64(4996.35), 7: np.float64(5095.12), 5: np.float64(5125.6), 3: np.float64(5257.23), 4: np.float64(5577.22)}"
6,2023-02-16 00:00:00+00:00,2024-02-15 00:00:00+00:00,365,5,5266.852645871429,619,True,15,4,5274.975356673866,8.122710802437723,0.5896607431340872,"{5: np.float64(5266.85), 4: np.float64(5274.98), 6: np.float64(5570.45), 7: np.float64(5899.64), 3: np.float64(6109.02)}"
7,2023-08-17 00:00:00+00:00,2024-08-15 00:00:00+00:00,365,7,8140.624785520951,881,True,18,6,8292.209219472828,151.58443395187714,0.41430192962542567,"{7: np.float64(8140.62), 6: np.float64(8292.21), 4: np.float64(8610.32), 5: np.float64(8656.15), 3: np.float64(9363.02)}"
8,2024-02-15 00:00:00+00:00,2025-02-13 00:00:00+00:00,365,5,8170.993312926519,619,True,53,6,8173.012179645304,2.0188667187849205,0.5896607431340872,"{5: np.float64(8170.99), 6: np.float64(8173.01), 4: np.float64(8346.39), 3: np.float64(8654.74), 7: np.float64(8674.42)}"
9,2024-08-15 00:00:00+00:00,2025-08-14 00:00:00+00:00,365,4,7550.1037059704595,491,True,18,5,7557.422674662774,7.318968692314229,0.7433808553971487,"{4: np.float64(7550.1), 5: np.float64(7557.42), 6: np.float64(7606.06), 7: np.float64(7618.14), 3: np.float64(8047.27)}"
10,2025-02-13 00:00:00+00:00,2026-02-12 00:00:00+00:00,365,4,8184.708640715138,491,True,18,7,8263.575320255723,78.8666795405843,0.7433808553971487,"{4: np.float64(8184.71), 7: np.float64(8263.58), 5: np.float64(8340.78), 6: np.float64(8377.68), 3: np.float64(8640.62)}"
