window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 18:00:00+00:00,2020-04-26 18:00:00+00:00,365,5,6654.848513139762,244,True,109,6,6826.472347099109,171.6238339593474,1.4959016393442623,"{5: np.float64(6654.85), 6: np.float64(6826.47), 4: np.float64(6886.74), 7: np.float64(6898.33), 3: np.float64(6933.34)}"
1,2019-10-27 18:00:00+00:00,2020-10-25 18:00:00+00:00,365,6,5814.485882192631,299,True,17,5,5861.444026503961,46.958144311330216,1.2207357859531773,"{6: np.float64(5814.49), 5: np.float64(5861.44), 4: np.float64(5953.22), 7: np.float64(5973.8), 3: np.float64(6175.3)}"
2,2020-04-26 18:00:00+00:00,2021-04-25 18:00:00+00:00,365,6,6399.993032357517,299,True,53,5,6492.494801341024,92.50176898350674,1.2207357859531773,"{6: np.float64(6399.99), 5: np.float64(6492.49), 4: np.float64(6554.31), 3: np.float64(6586.64), 7: np.float64(6698.88)}"
3,2020-10-25 18:00:00+00:00,2021-10-24 18:00:00+00:00,365,7,6747.241579084537,356,True,50,4,6868.233766129465,120.99218704492796,1.0252808988764044,"{7: np.float64(6747.24), 4: np.float64(6868.23), 5: np.float64(6886.6), 3: np.float64(6924.66), 6: np.float64(7022.19)}"
4,2021-04-25 18:00:00+00:00,2022-04-24 18:00:00+00:00,365,5,6213.688777752597,244,True,64,6,6244.68531209639,30.99653434379252,1.4959016393442623,"{5: np.float64(6213.69), 6: np.float64(6244.69), 4: np.float64(6273.32), 3: np.float64(6290.07), 7: np.float64(6430.99)}"
5,2021-10-24 18:00:00+00:00,2022-10-23 18:00:00+00:00,365,5,6631.013837922901,244,True,49,6,6636.628522598949,5.6146846760475455,1.4959016393442623,"{5: np.float64(6631.01), 6: np.float64(6636.63), 3: np.float64(6717.57), 4: np.float64(6792.35), 7: np.float64(6929.35)}"
6,2022-04-24 18:00:00+00:00,2023-04-23 18:00:00+00:00,365,7,7309.859082698054,356,True,56,5,7318.840178285847,8.981095587792879,1.0252808988764044,"{7: np.float64(7309.86), 5: np.float64(7318.84), 6: np.float64(7377.31), 4: np.float64(7470.96), 3: np.float64(7606.59)}"
7,2022-10-23 18:00:00+00:00,2023-10-22 18:00:00+00:00,365,5,6406.850538144079,244,True,25,6,6436.341258317695,29.490720173615955,1.4959016393442623,"{5: np.float64(6406.85), 6: np.float64(6436.34), 4: np.float64(6576.07), 3: np.float64(6655.6), 7: np.float64(6711.06)}"
8,2023-04-23 18:00:00+00:00,2024-04-21 18:00:00+00:00,365,6,6545.578912294293,299,True,34,5,6566.413223318635,20.834311024341332,1.2207357859531773,"{6: np.float64(6545.58), 5: np.float64(6566.41), 4: np.float64(6605.62), 3: np.float64(6727.52), 7: np.float64(6881.45)}"
9,2023-10-22 18:00:00+00:00,2024-10-20 18:00:00+00:00,365,5,6903.119375026098,244,True,45,6,6979.930624761414,76.81124973531587,1.4959016393442623,"{5: np.float64(6903.12), 6: np.float64(6979.93), 4: np.float64(7004.86), 3: np.float64(7018.23), 7: np.float64(7057.81)}"
10,2024-04-21 18:00:00+00:00,2025-04-20 18:00:00+00:00,365,5,7206.115924313707,244,True,37,6,7242.664465854861,36.54854154115401,1.4959016393442623,"{5: np.float64(7206.12), 6: np.float64(7242.66), 4: np.float64(7295.25), 3: np.float64(7453.56), 7: np.float64(7564.8)}"
11,2024-10-20 18:00:00+00:00,2025-10-19 18:00:00+00:00,365,5,7256.899123958796,244,True,60,4,7264.448512112777,7.549388153981454,1.4959016393442623,"{5: np.float64(7256.9), 4: np.float64(7264.45), 6: np.float64(7281.4), 3: np.float64(7310.52), 7: np.float64(7435.04)}"
12,2025-04-20 18:00:00+00:00,2026-04-19 18:00:00+00:00,365,4,6741.984191612893,191,True,78,5,6825.140382490354,83.15619087746109,1.9109947643979057,"{4: np.float64(6741.98), 5: np.float64(6825.14), 6: np.float64(6869.77), 3: np.float64(6967.34), 7: np.float64(7081.09)}"
