window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-04-28 00:00:00+00:00,2020-04-26 00:00:00+00:00,365,6,7026.660415402575,299,True,79,5,7048.878778137225,22.218362734649418,1.2207357859531773,"{6: np.float64(7026.66), 5: np.float64(7048.88), 4: np.float64(7128.88), 7: np.float64(7203.07), 3: np.float64(7381.78)}"
1,2019-10-27 00:00:00+00:00,2020-10-25 00:00:00+00:00,365,7,6564.2301073876115,356,True,60,6,6657.865508194776,93.63540080716484,1.0252808988764044,"{7: np.float64(6564.23), 6: np.float64(6657.87), 5: np.float64(6719.99), 4: np.float64(6769.77), 3: np.float64(7143.41)}"
2,2020-04-26 00:00:00+00:00,2021-04-25 00:00:00+00:00,365,5,5831.703137824349,244,True,65,6,5954.87932214572,123.17618432137078,1.4959016393442623,"{5: np.float64(5831.7), 6: np.float64(5954.88), 4: np.float64(6082.14), 3: np.float64(6202.85), 7: np.float64(6217.84)}"
3,2020-10-25 00:00:00+00:00,2021-10-24 00:00:00+00:00,365,5,6705.680052571836,244,True,146,6,6737.056899718125,31.376847146289037,1.4959016393442623,"{5: np.float64(6705.68), 6: np.float64(6737.06), 7: np.float64(6805.91), 4: np.float64(6855.4), 3: np.float64(6966.98)}"
4,2021-04-25 00:00:00+00:00,2022-04-24 00:00:00+00:00,365,6,6361.301208388386,299,True,31,4,6413.256023742822,51.954815354436505,1.2207357859531773,"{6: np.float64(6361.3), 4: np.float64(6413.26), 5: np.float64(6473.4), 3: np.float64(6522.59), 7: np.float64(6790.5)}"
5,2021-10-24 00:00:00+00:00,2022-10-23 00:00:00+00:00,365,4,6708.401923595603,191,True,91,6,6810.434735133668,102.03281153806529,1.9109947643979057,"{4: np.float64(6708.4), 6: np.float64(6810.43), 5: np.float64(6823.65), 3: np.float64(6945.43), 7: np.float64(7131.62)}"
6,2022-04-24 00:00:00+00:00,2023-04-23 00:00:00+00:00,365,4,7036.873023346676,191,True,23,7,7106.689626079546,69.8166027328698,1.9109947643979057,"{4: np.float64(7036.87), 7: np.float64(7106.69), 5: np.float64(7157.0), 6: np.float64(7268.54), 3: np.float64(7314.48)}"
7,2022-10-23 00:00:00+00:00,2023-10-22 00:00:00+00:00,365,7,5726.402212985871,356,True,60,6,5767.993778240975,41.59156525510389,1.0252808988764044,"{7: np.float64(5726.4), 6: np.float64(5767.99), 5: np.float64(5807.72), 4: np.float64(5954.0), 3: np.float64(6175.68)}"
8,2023-04-23 00:00:00+00:00,2024-04-21 00:00:00+00:00,365,5,6544.5244184163,244,True,36,4,6578.340362729195,33.81594431289432,1.4959016393442623,"{5: np.float64(6544.52), 4: np.float64(6578.34), 6: np.float64(6633.25), 3: np.float64(6714.12), 7: np.float64(6944.27)}"
9,2023-10-22 00:00:00+00:00,2024-10-20 00:00:00+00:00,365,5,7714.7062063164785,244,True,49,4,7757.874458348711,43.168252032232886,1.4959016393442623,"{5: np.float64(7714.71), 4: np.float64(7757.87), 6: np.float64(7774.88), 3: np.float64(7904.51), 7: np.float64(8044.14)}"
10,2024-04-21 00:00:00+00:00,2025-04-20 00:00:00+00:00,365,4,7172.398948755774,191,True,37,5,7257.082867865619,84.68391910984519,1.9109947643979057,"{4: np.float64(7172.4), 5: np.float64(7257.08), 7: np.float64(7271.61), 6: np.float64(7329.24), 3: np.float64(7361.93)}"
11,2024-10-20 00:00:00+00:00,2025-10-19 00:00:00+00:00,365,6,7451.6922097307815,299,True,137,4,7487.689752554036,35.99754282325466,1.2207357859531773,"{6: np.float64(7451.69), 4: np.float64(7487.69), 7: np.float64(7595.25), 5: np.float64(7606.22), 3: np.float64(7614.83)}"
12,2025-04-20 00:00:00+00:00,2026-04-19 00:00:00+00:00,365,4,7268.123174585221,191,True,49,5,7339.878626960497,71.75545237527604,1.9109947643979057,"{4: np.float64(7268.12), 5: np.float64(7339.88), 6: np.float64(7489.74), 3: np.float64(7519.16), 7: np.float64(7563.05)}"
