window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2019-05-26 00:00:00+00:00,2020-05-24 00:00:00+00:00,365,4,6622.230088218717,191,True,42,6,6684.46069790138,62.23060968266236,1.9109947643979057,"{4: np.float64(6622.23), 6: np.float64(6684.46), 7: np.float64(6714.33), 5: np.float64(6752.03), 3: np.float64(6891.74)}"
1,2019-11-24 00:00:00+00:00,2020-11-22 00:00:00+00:00,365,6,5688.1024108149,299,True,67,5,5842.730564368451,154.62815355355087,1.2207357859531773,"{6: np.float64(5688.1), 5: np.float64(5842.73), 7: np.float64(5961.32), 4: np.float64(6021.05), 3: np.float64(6110.81)}"
2,2020-05-24 00:00:00+00:00,2021-05-23 00:00:00+00:00,365,5,5914.462652639271,244,True,38,4,6021.352098284255,106.88944564498343,1.4959016393442623,"{5: np.float64(5914.46), 4: np.float64(6021.35), 7: np.float64(6060.33), 6: np.float64(6173.99), 3: np.float64(6312.81)}"
3,2020-11-22 00:00:00+00:00,2021-11-21 00:00:00+00:00,365,6,6334.937583213701,299,True,87,5,6462.924436098097,127.98685288439628,1.2207357859531773,"{6: np.float64(6334.94), 5: np.float64(6462.92), 4: np.float64(6495.08), 3: np.float64(6615.32), 7: np.float64(6767.27)}"
4,2021-05-23 00:00:00+00:00,2022-05-22 00:00:00+00:00,365,4,6439.268007841373,191,True,126,6,6567.290688549804,128.02268070843093,1.9109947643979057,"{4: np.float64(6439.27), 6: np.float64(6567.29), 5: np.float64(6567.36), 3: np.float64(6605.13), 7: np.float64(6696.15)}"
5,2021-11-21 00:00:00+00:00,2022-11-20 00:00:00+00:00,365,3,7041.937416006916,140,True,69,4,7067.0585008291355,25.121084822219927,2.607142857142857,"{3: np.float64(7041.94), 4: np.float64(7067.06), 5: np.float64(7128.16), 7: np.float64(7232.31), 6: np.float64(7338.46)}"
6,2022-05-22 00:00:00+00:00,2023-05-21 00:00:00+00:00,365,5,6840.227800633008,244,True,64,4,6958.870371257781,118.64257062477282,1.4959016393442623,"{5: np.float64(6840.23), 4: np.float64(6958.87), 6: np.float64(6971.51), 7: np.float64(7146.89), 3: np.float64(7314.21)}"
7,2022-11-20 00:00:00+00:00,2023-11-19 00:00:00+00:00,365,5,6138.150905530906,244,True,31,6,6164.9690507753685,26.818145244462357,1.4959016393442623,"{5: np.float64(6138.15), 6: np.float64(6164.97), 4: np.float64(6265.5), 7: np.float64(6378.45), 3: np.float64(6466.02)}"
8,2023-05-21 00:00:00+00:00,2024-05-19 00:00:00+00:00,365,6,6797.826607392985,299,True,81,7,6853.580322823394,55.7537154304091,1.2207357859531773,"{6: np.float64(6797.83), 7: np.float64(6853.58), 5: np.float64(6909.15), 4: np.float64(6933.74), 3: np.float64(6975.02)}"
9,2023-11-19 00:00:00+00:00,2024-11-17 00:00:00+00:00,365,5,6928.0035096839165,244,True,35,4,7065.523124093616,137.5196144096999,1.4959016393442623,"{5: np.float64(6928.0), 4: np.float64(7065.52), 3: np.float64(7148.18), 7: np.float64(7199.75), 6: np.float64(7233.07)}"
10,2024-05-19 00:00:00+00:00,2025-05-18 00:00:00+00:00,365,5,6755.496711560368,244,True,96,4,6852.1408836186,96.64417205823247,1.4959016393442623,"{5: np.float64(6755.5), 4: np.float64(6852.14), 6: np.float64(6857.72), 3: np.float64(6921.85), 7: np.float64(7060.04)}"
11,2024-11-17 00:00:00+00:00,2025-11-16 00:00:00+00:00,365,5,6671.034666531911,244,True,71,4,6715.667972568628,44.63330603671693,1.4959016393442623,"{5: np.float64(6671.03), 4: np.float64(6715.67), 6: np.float64(6841.75), 3: np.float64(6861.48), 7: np.float64(7032.06)}"
12,2025-05-18 00:00:00+00:00,2026-05-17 00:00:00+00:00,365,7,6494.773979666334,356,True,20,5,6681.11755327225,186.3435736059164,1.0252808988764044,"{7: np.float64(6494.77), 5: np.float64(6681.12), 4: np.float64(6727.5), 6: np.float64(6852.09), 3: np.float64(6905.61)}"
