window_idx,is_start,is_end,n_is_bars,selected_n_components,selected_bic,selected_n_params,converged,n_iter,runner_up_n_components,runner_up_bic,bic_margin,samples_per_param,bic_curve
0,2020-03-12 00:00:00+00:00,2021-03-11 00:00:00+00:00,365,7,5862.517570358145,881,True,29,6,6348.191467962402,485.67389760425704,0.41430192962542567,"{7: np.float64(5862.52), 6: np.float64(6348.19), 5: np.float64(6404.57), 4: np.float64(6594.0), 3: np.float64(7429.03)}"
1,2020-09-10 00:00:00+00:00,2021-09-09 00:00:00+00:00,365,6,6659.569453204642,749,True,35,7,6757.617874266344,98.04842106170236,0.48731642189586116,"{6: np.float64(6659.57), 7: np.float64(6757.62), 4: np.float64(6862.62), 5: np.float64(6905.89), 3: np.float64(7375.54)}"
2,2021-03-11 00:00:00+00:00,2022-03-10 00:00:00+00:00,365,7,6597.028594260686,881,True,33,5,6616.486288575276,19.4576943145903,0.41430192962542567,"{7: np.float64(6597.03), 5: np.float64(6616.49), 6: np.float64(6906.22), 4: np.float64(6942.12), 3: np.float64(7179.97)}"
3,2021-09-09 00:00:00+00:00,2022-09-08 00:00:00+00:00,365,3,6467.781585331801,365,True,23,6,6530.0731803533245,62.29159502152379,1.0,"{3: np.float64(6467.78), 6: np.float64(6530.07), 4: np.float64(6588.55), 5: np.float64(6602.86), 7: np.float64(6776.41)}"
4,2022-03-10 00:00:00+00:00,2023-03-09 00:00:00+00:00,365,6,6923.297366692859,749,True,64,7,6986.496400242699,63.19903354983944,0.48731642189586116,"{6: np.float64(6923.3), 7: np.float64(6986.5), 5: np.float64(7034.11), 3: np.float64(7485.22), 4: np.float64(7509.14)}"
5,2022-09-08 00:00:00+00:00,2023-09-07 00:00:00+00:00,365,6,6124.3563110389005,749,True,11,4,6277.779831499068,153.4235204601673,0.48731642189586116,"{6: np.float64(6124.36), 4: np.float64(6277.78), 7: np.float64(6310.99), 5: np.float64(6352.74), 3: np.float64(6604.41)}"
6,2023-03-09 00:00:00+00:00,2024-03-07 00:00:00+00:00,365,6,6250.444259534625,749,True,16,5,6277.6790916951095,27.234832160484075,0.48731642189586116,"{6: np.float64(6250.44), 5: np.float64(6277.68), 7: np.float64(6334.88), 4: np.float64(6500.2), 3: np.float64(6989.35)}"
7,2023-09-07 00:00:00+00:00,2024-09-05 00:00:00+00:00,365,5,7562.309538091389,619,True,14,4,7644.78716433167,82.4776262402811,0.5896607431340872,"{5: np.float64(7562.31), 4: np.float64(7644.79), 7: np.float64(7715.05), 6: np.float64(7726.1), 3: np.float64(8193.13)}"
8,2024-03-07 00:00:00+00:00,2025-03-06 00:00:00+00:00,365,6,7406.895579215257,749,True,23,5,7480.790070761203,73.89449154594604,0.48731642189586116,"{6: np.float64(7406.9), 5: np.float64(7480.79), 4: np.float64(7660.17), 3: np.float64(8032.25), 7: np.float64(8037.0)}"
9,2024-09-05 00:00:00+00:00,2025-09-04 00:00:00+00:00,365,4,6541.400608205243,491,True,51,7,6689.709312958892,148.30870475364918,0.7433808553971487,"{4: np.float64(6541.4), 7: np.float64(6689.71), 5: np.float64(6702.19), 6: np.float64(6764.94), 3: np.float64(6956.39)}"
10,2025-03-06 00:00:00+00:00,2026-03-05 00:00:00+00:00,365,5,6929.948472368675,619,True,23,7,7051.917959954235,121.96948758556027,0.5896607431340872,"{5: np.float64(6929.95), 7: np.float64(7051.92), 4: np.float64(7081.66), 6: np.float64(7264.57), 3: np.float64(7440.42)}"
